"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"206","Los Angeles - Victoria Park",60,60,685,2,24,20,497,5917,5744,8399
"207","Los Angeles - View Heights",10,10,251,2,54,42,308,8338,7787,3694
"208","Los Angeles - Watts",345,345,891,9,21,38,2236,5240,5674,42674
"209","Los Angeles - Wellington Square",25,25,485,0,0,0,339,6897,6714,4915
"210","Los Angeles - West Adams",245,245,870,17,62,67,2412,8730,8452,27630
"211","Los Angeles - West Hills",151,151,332,15,37,23,2773,6839,6519,40545
"212","Los Angeles - West Los Angeles",85,85,210,4,11,11,3250,8635,8019,37636
"213","Los Angeles - West Vernon",525,525,983,16,30,35,3680,6860,6891,53644
"214","Los Angeles - Westchester",102,102,187,10,19,16,3412,6612,6214,51603
"215","Los Angeles - Westlake",794,794,1409,76,128,147,3624,6106,6238,59355
"216","Los Angeles - Westwood",74,74,149,5,9,9,3089,5709,6163,54109
"217","Los Angeles - Wholesale District",718,718,1669,8,22,29,3438,9516,8486,36129
"218","Los Angeles - Wilmington",301,301,543,3,5,6,2218,3927,4038,56487
"219","Los Angeles - Wilshire Center",267,267,505,18,36,36,2542,5067,4763,50170
"220","Los Angeles - Winnetka",325,325,589,4,8,9,3885,7502,7176,51786
"221","Los Angeles - Woodland Hills",174,174,230,12,18,12,5353,7866,7244,68055
"222","Unincorporated - Acton",11,11,158,1,13,6,314,3939,3716,7971
"223","Unincorporated - Agua Dulce",9,9,313,0,0,0,169,4064,4580,4158
"224","Unincorporated - Altadena",157,157,360,5,11,10,2112,4842,4660,43620
"225","Unincorporated - Anaverde",2,2,201,0,0,0,52,3448,3966,1508
"226","Unincorporated - Angeles National Forest",1,1,69,0,0,0,29,2329,2138,1245
"227","Unincorporated - Arcadia",10,10,101,1,13,8,410,5137,4844,7981
"228","Unincorporated - Athens Village",34,34,777,2,41,38,384,7842,8230,4897
"229","Unincorporated - Athens-Westmont",243,243,574,8,19,22,2385,5619,5698,42442
"230","Unincorporated - Avocado Heights",33,33,483,1,15,14,186,2745,2694,6775
"231","Unincorporated - Azusa",72,72,451,1,6,10,580,3643,3563,15923
"232","Unincorporated - Bassett",108,108,726,3,20,21,592,3995,3926,14817
"233","Unincorporated - Bouquet Canyon",1,1,82,1,93,82,22,2050,2142,1073
"234","Unincorporated - Canyon Country",34,34,450,0,0,0,472,6108,6625,7728
"235","Unincorporated - Castaic",821,821,2719,1,4,5,1036,3810,3893,27191
"236","Unincorporated - Covina",61,61,353,0,0,0,667,3966,3788,16819
"237","Unincorporated - Covina (Charter Oak)",46,46,358,0,0,0,500,3804,3683,13144
"238","Unincorporated - Del Aire",16,16,344,1,23,25,251,5714,5325,4393
"239","Unincorporated - Del Rey",1,1,425,0,0,0,39,12264,19271,318
"240","Unincorporated - Del Sur",2,2,40,1,41,20,76,3147,3447,2415
"241","Unincorporated - Desert View Highlands",6,6,252,1,40,24,105,4212,4131,2493
"242","Unincorporated - Duarte",16,16,345,1,23,17,214,4833,4853,4428
"243","Unincorporated - East La Mirada",17,17,309,0,0,0,167,3156,3056,5292
"244","Unincorporated - East Los Angeles",1136,1136,926,41,33,40,6503,5191,5263,125269
"245","Unincorporated - East Pasadena",4,4,60,0,0,0,159,2483,2511,6403
"246","Unincorporated - East Rancho Dominguez",65,65,412,1,7,8,595,3887,3961,15308
"247","Unincorporated - East Whittier",11,11,208,0,0,0,158,2978,2954,5306
"248","Unincorporated - El Camino Village",44,44,508,2,23,16,428,4869,4911,8791
"249","Unincorporated - Elizabeth Lake",3,3,114,0,0,0,48,2890,3031,1661
"250","Unincorporated - Florence-Firestone",658,658,1064,16,25,34,3129,4836,4931,64705
"251","Unincorporated - Glendora",3,3,749,0,0,0,27,4091,5025,660
"252","Unincorporated - Hacienda Heights",159,159,276,2,4,2,1434,2564,2512,55926
"253","Unincorporated - Hawthorne",7,7,255,0,0,0,95,3779,3659,2514
"254","Unincorporated - Hi Vista",1,1,202,0,0,0,18,1639,1990,1098
"255","Unincorporated - Kagel/Lopez Canyons",8,8,675,1,71,113,112,7932,8052,1412
"256","Unincorporated - La Crescenta-Montrose",32,32,171,1,5,3,894,4515,4604,19801
"257","Unincorporated - La Rambla",12,12,553,0,0,0,390,18795,16669,2075
"258","Unincorporated - La Verne",5,5,253,0,0,0,124,6078,5520,2040
"259","Unincorporated - Ladera Heights",20,20,182,1,14,7,709,10027,8445,7071
"260","Unincorporated - Lake Hughes",1,1,192,0,0,0,27,4042,4074,668
"261","Unincorporated - Lake Los Angeles",33,33,270,2,15,25,346,2663,2713,12994
"262","Unincorporated - Lake Manor",4,4,208,0,0,0,98,5965,5695,1643
"263","Unincorporated - Lennox",110,110,490,0,0,0,888,3939,3962,22542
"264","Unincorporated - Leona Valley",3,3,199,0,0,0,50,2856,2781,1751
"265","Unincorporated - Littlerock",14,14,334,0,0,0,162,4029,3887,4021
"266","Unincorporated - Littlerock/Juniper Hills",2,2,207,0,0,0,54,4163,3612,1297
"267","Unincorporated - Littlerock/Pearblossom",20,20,550,0,0,0,128,3586,3613,3569
"268","Unincorporated - Llano",1,1,109,0,0,0,21,2395,1834,877
"269","Unincorporated - Marina del Rey",15,15,123,1,11,13,527,5600,4603,9411
"270","Unincorporated - Monrovia",21,21,542,0,0,0,166,4277,4258,3881
"271","Unincorporated - Newhall",1,1,461,0,0,0,11,5000,4328,220
"272","Unincorporated - North Lancaster",6,6,464,0,0,0,39,3255,3360,1198
"273","Unincorporated - North Whittier",14,14,163,1,12,11,324,3876,3807,8360
"274","Unincorporated - Northeast San Gabriel",60,60,247,3,12,11,842,3503,3377,24036
"275","Unincorporated - Palmdale",4,4,537,0,0,0,28,3325,3598,842
"276","Unincorporated - Pearblossom/Llano",3,3,129,0,0,0,46,2352,2225,1956
"277","Unincorporated - Pellissier Village",1,1,195,0,0,0,19,3069,3206,619
"278","Unincorporated - Pomona",3,3,289,0,0,0,19,980,2547,1938
"279","Unincorporated - Quartz Hill",46,46,311,9,70,51,430,3332,3140,12906
"280","Unincorporated - Rancho Dominguez",19,19,652,1,38,18,177,6652,6304,2661
"281","Unincorporated - Rosewood",8,8,783,0,0,0,79,6143,6194,1286
"282","Unincorporated - Rosewood/West Rancho Dominguez",28,28,892,0,0,0,197,5861,6019,3361
"283","Unincorporated - Rowland Heights",150,150,292,5,10,6,1241,2432,2265,51022
"284","Unincorporated - San Jose Hills",72,72,352,2,10,10,675,3338,3276,20221
"285","Unincorporated - San Pasqual",1,1,24,0,0,0,46,2260,2394,2035
"286","Unincorporated - Santa Catalina Island",2,2,2700,0,0,0,74,27715,31688,267
"287","Unincorporated - Santa Monica Mountains",25,25,145,1,5,2,1183,6353,6648,18621
"288","Unincorporated - Saugus",4,4,2844,0,0,0,113,72903,83892,155
"289","Unincorporated - South Antelope Valley",1,1,256,0,0,0,8,1758,1395,455
"290","Unincorporated - South El Monte",9,9,470,0,0,0,86,4791,4664,1795
"291","Unincorporated - South San Gabriel",40,40,396,4,45,29,543,6137,5160,8848
"292","Unincorporated - South Whittier",176,176,289,8,14,13,1782,3009,2967,59222
"293","Unincorporated - Stevenson Ranch",34,34,162,0,0,0,992,4731,4614,20966
"294","Unincorporated - Sun Village",20,20,345,0,0,0,195,3231,3203,6036
"295","Unincorporated - Sunrise Village",5,5,409,0,0,0,42,3241,3183,1296
"296","Unincorporated - Twin Lakes/Oat Mountain",4,4,280,1,60,78,127,7660,6745,1658
"297","Unincorporated - Val Verde",28,28,766,0,0,0,429,12965,12518,3309
"298","Unincorporated - Valencia",9,9,719,1,33,258,128,4167,5238,3072
"299","Unincorporated - Valinda",100,100,414,1,4,5,853,3650,3608,23371
"300","Unincorporated - View Park/Windsor Hills",38,38,312,2,17,7,1114,9575,8870,11635
"301","Unincorporated - Walnut Park",143,143,877,3,19,17,656,4064,3999,16143
"302","Unincorporated - West Antelope Valley",2,2,211,0,0,0,27,1787,1493,1511
"303","Unincorporated - West Carson",106,106,402,10,45,27,1384,6266,5756,22086
"304","Unincorporated - West LA",24,24,1895,2,210,67,400,42017,32266,952
"305","Unincorporated - West Puente Valley",46,46,464,0,0,0,377,3833,3702,9835
"306","Unincorporated - West Rancho Dominguez",10,10,743,1,74,63,75,5519,5103,1359
"307","Unincorporated - West Whittier/Los Nietos",177,177,661,4,15,15,986,3662,3656,26925
"308","Unincorporated - White Fence Farms",6,6,118,0,0,0,132,3584,3781,3683
"309","Unincorporated - Whittier",15,15,390,0,0,0,134,3541,3411,3784
"310","Unincorporated - Willowbrook",267,267,780,6,17,25,2187,6264,6426,34913
"311","Unincorporated - Wiseburn",19,19,279,0,0,0,381,6322,6178,6027
"312","City of Avalon",0,0,0,0,0,0,1,26,15,3869
"313","Los Angeles - Brookside",0,0,0,0,0,0,38,6540,7480,581
"314","Unincorporated - Bradbury",0,0,0,0,0,0,9,8333,117,108
"315","Unincorporated - Cerritos",0,0,0,0,0,0,21,3578,3463,587
"316","Unincorporated - Claremont",0,0,0,0,0,0,28,3989,5284,702
"317","Unincorporated - East Covina",0,0,0,0,0,0,14,4255,5495,329
"318","Unincorporated - East Lancaster",0,0,0,0,0,0,3,2632,895,114
"319","Unincorporated - El Monte",0,0,0,0,0,0,5,3448,3568,145
"320","Unincorporated - Harbor Gateway",0,0,0,0,0,0,2,2e+05,9407,1
"321","Unincorporated - La Habra Heights",0,0,0,0,0,0,7,1036,1374,676
"322","Unincorporated - Palos Verdes Peninsula",0,0,0,0,0,0,32,5153,6612,621
"323","Unincorporated - Placerita Canyon",0,0,0,0,0,0,6,1304,1766,460
"324","Unincorporated - Roosevelt",0,0,0,0,0,0,12,1289,1443,931
"325","Unincorporated - Rosewood/East Gardena",0,0,0,0,0,0,72,6035,6050,1193
"326","Unincorporated - Sand Canyon",0,0,0,0,0,0,16,5195,11484,308
"327","Unincorporated - Saugus/Canyon Country",0,0,0,0,0,0,24,6742,7730,356
"328","Unincorporated - Southeast Antelope Valley",0,0,0,0,0,0,20,2561,2353,781
"329","Unincorporated - Westfield/Academy Hills",0,0,0,0,0,0,53,4077,3518,1300
"330","Unincorporated - Westhills",0,0,0,0,0,0,58,6913,8400,839
"331","Unincorporated - Whittier Narrows",0,0,0,0,0,0,2,16667,7860,12
